id,cc_id,nickname,telegram_id,created_at,first_deposit_at,hq_segment,linked_at
13,tg_1249639412_4448eec7,일등당첨,1249639412,2026-02-04 13:33:04,2026-02-04 06:49:42,WHALE,2026-02-04 06:20:31
14,tg_2049846755_83dc29fe,크리스토퍼,2049846755,2026-02-04 15:17:21,2026-02-04 06:49:42,VIP,2026-02-04 06:44:18
15,tg_6085974841_f27aeddf,persipic,6085974841,2026-02-04 16:57:02,2026-02-04 09:35:56,WHALE,2026-02-04 07:57:28
16,tg_766455411_a225388f,아사카,766455411,2026-02-04 19:55:11,,VIP,2026-02-04 11:01:25
17,tg_8042416620_e3d28e7c,이현서,8042416620,2026-02-04 19:57:58,,,
18,tg_5138956113_91516886,에버리치,5138956113,2026-02-04 20:32:12,,COMMON,2026-02-04 11:35:12
20,tg_40074587_7235a852,지민이공식,40074587,2026-02-04 21:02:10,,,
21,tg_8356834242_113ee9e8,와주쟘,8356834242,2026-02-04 22:55:04,,AT_RISK,2026-02-04 13:58:48
22,tg_6417348612_9dcf6d16,배곧재우,6417348612,2026-02-05 09:29:31,,COMMON,2026-02-05 00:33:11
23,tg_5507092327_f4d990ab,아기상어요,5507092327,2026-02-05 10:13:28,,COMMON,2026-02-05 01:21:15
24,tg_8338823321_7254cb39,동추,8338823321,2026-02-05 10:29:13,2026-02-05 01:50:37,VIP,2026-02-05 01:35:05
25,tg_7292051908_8f18d2ca,콩이랑,7292051908,2026-02-05 11:25:14,,AT_RISK,2026-02-05 02:26:08
26,tg_6507594251_ae2d256c,낯선그림자,6507594251,2026-02-05 12:59:22,,,
27,tg_1981255322_66898db9,돈따묵쟈,1981255322,2026-02-05 18:03:43,2026-02-05 09:14:51,VIP,2026-02-05 09:03:51
28,tg_7622239030_480a8408,제트장인,7622239030,2026-02-05 19:07:06,,,
