nickname,hq_found,segment,total_margin,total_charge,is_joined,linked_at,linked_user_id,v2_found,v2_user_id,v2_created_at,first_deposit_at,notes
돈따묵쟈,Y,VIP,5450000,12280000,1,2026-02-05 09:03:51,27,Y,27,2026-02-05 18:03:43,2026-02-05 09:14:51,JOINED_AFTER_START|CLICK_PROXY_NEW_USER|DEPOSIT_AFTER_START
팔라오,N,,,,,,,N,,,,NOT_IN_HQ_180
제트장인,Y,AT_RISK,10000,10000,0,,,Y,28,2026-02-05 19:07:06,,CLICK_PROXY_NEW_USER
일등당첨,Y,WHALE,-480000,15860000,1,2026-02-04 06:20:31,13,Y,13,2026-02-04 13:33:04,2026-02-04 06:49:42,JOINED_AFTER_START|CLICK_PROXY_NEW_USER|DEPOSIT_AFTER_START
돈죠요,Y,COMMON,-350000,100000,0,,,N,,,,
콩이랑,Y,AT_RISK,20000,740000,1,2026-02-05 02:26:08,25,Y,25,2026-02-05 11:25:14,,JOINED_AFTER_START|CLICK_PROXY_NEW_USER
동의어보감,N,,,,,,,N,,,,NOT_IN_HQ_180
킴대리임,Y,AT_RISK,200000,200000,0,,,N,,,,
아기상어요,Y,COMMON,-50000,10000,1,2026-02-05 01:21:15,23,Y,23,2026-02-05 10:13:28,,JOINED_AFTER_START|CLICK_PROXY_NEW_USER
동추,Y,VIP,10990000,16990000,1,2026-02-05 01:35:05,24,Y,24,2026-02-05 10:29:13,2026-02-05 01:50:37,JOINED_AFTER_START|CLICK_PROXY_NEW_USER|DEPOSIT_AFTER_START
레몬향,Y,AT_RISK,1000000,1000000,0,,,N,,,,
자르반이큐,Y,VIP,1990000,2400000,0,,,N,,,,
으랏챠차,N,,,,,,,N,,,,NOT_IN_HQ_180
자리,Y,VIP,1370000,2180000,0,,,N,,,,
누워서젖먹기,Y,AT_RISK,100000,100000,0,,,N,,,,
휴식시간,Y,AT_RISK,100000,100000,0,,,N,,,,
치실,Y,AT_RISK,100000,100000,1,2026-02-03 09:26:03,12,Y,12,2026-02-03 18:19:50,2026-02-03 09:23:37,JOINED_BEFORE_START
외오리바람,Y,AT_RISK,100000,100000,0,,,N,,,,
비다이다,N,,,,,,,N,,,,NOT_IN_HQ_180
소노피,Y,COMMON,-140000,100000,0,,,N,,,,
에버리치,Y,COMMON,-480000,1800000,1,2026-02-04 11:35:12,18,Y,18,2026-02-04 20:32:12,,JOINED_AFTER_START|CLICK_PROXY_NEW_USER
알레리노,Y,AT_RISK,200000,200000,0,,,N,,,,
세상은참,Y,AT_RISK,370000,1020000,0,,,N,,,,
서간밸,N,,,,,,,N,,,,NOT_IN_HQ_180
배곧재우,Y,COMMON,-90000,150000,1,2026-02-05 00:33:11,22,Y,22,2026-02-05 09:29:31,,JOINED_AFTER_START|CLICK_PROXY_NEW_USER
