ID,Nick,TotalCharge,TodayDeposit,Balance,LastPlay(KST),Status
2,Admin,0,0,0,,💤 휴면
7,percipic,1890000,60000,30350,2026-01-16,🔥 활성 (Today)
9,크리스토퍼,800000,0,9510,2026-01-06,💤 휴면
12,봄꽃잎,3800000,800000,3750,2026-01-04,👀 관망 (입금만함)
14,초보베터,0,0,800,2026-01-10,💤 휴면
15,돈머니돈,0,0,560,2026-01-04,💤 휴면
16,일등당첨,0,0,3200,2026-01-16,🔥 활성 (Today)
17,민똘이,3500000,600000,2100,2026-01-15,⚠️ 이탈위험 (잔고있음)
18,동추,1500000,0,2800,2026-01-16,🔥 활성 (Today)
19,세상은참,0,0,3950,2026-01-02,💤 휴면
20,나이스비,0,0,2920,2026-01-04,💤 휴면
21,tg_user_5721857928,0,0,0,,💤 휴면
22,돈따묵쟈,1350000,300000,9750,2026-01-15,⚠️ 이탈위험 (잔고있음)
23,콩이랑,300000,0,3200,2026-01-15,⚠️ 이탈위험 (잔고있음)
24,아사카,3900000,400000,7700,2026-01-15,⚠️ 이탈위험 (잔고있음)
25,peace30922L,0,0,0,,💤 휴면
26,jm956,0,0,11000,2026-01-16,🔥 활성 (Today)
27,라오스오,310000,0,10260,2026-01-16,🔥 활성 (Today)
29,기프트,2400000,400000,9360,2026-01-15,⚠️ 이탈위험 (잔고있음)
30,성민이,1720000,0,8600,2026-01-06,💤 휴면
32,tg_user_6310828178,0,0,710,2026-01-03,💤 휴면
33,커피사랑,23129298,0,400,2026-01-03,💤 휴면
34,oneway3333,0,0,0,,💤 휴면
35,tg_user_5626594744,0,0,650,2026-01-04,💤 휴면
42,종이형님,0,0,0,,💤 휴면
73,tg_user_8190230593,0,0,0,,💤 휴면
74,행쥬,0,0,200,2026-01-05,💤 휴면
78,디기디,0,0,100,2026-01-06,💤 휴면
82,일렉시드,0,0,-50,2026-01-06,💤 휴면
83,천제 김,0,0,350,2026-01-06,💤 휴면
84,매루티,0,0,33250,2026-01-16,🔥 활성 (Today)
85,용보 이,0,0,0,,💤 휴면
86,필따,100000,0,0,,💤 휴면
89,오존스야,50000,0,0,,💤 휴면
94,이승욱,0,0,12850,2026-01-11,💤 휴면
101,자르반이큐,0,0,4400,2026-01-15,⚠️ 이탈위험 (잔고있음)
102,낯선그림자,0,0,3300,2026-01-15,⚠️ 이탈위험 (잔고있음)
103,제마,0,0,0,2026-01-15,📉 이탈위험 (잔고없음)
104,	 은종화,0,0,3450,2026-01-15,⚠️ 이탈위험 (잔고있음)
105,서간밸,0,0,0,,💤 휴면
106,승아지,0,0,3000,2026-01-15,⚠️ 이탈위험 (잔고있음)
109,김민저이,0,0,0,,💤 휴면
110,봉승승승,0,0,0,,💤 휴면
111,사 석,0,0,3200,2026-01-16,🔥 활성 (Today)
114,지수,0,0,5750,2026-01-16,🔥 활성 (Today)
115,신이다요,80000,80000,11000,2026-01-16,🔥 활성 (Today)
116,덕구간다,0,0,8500,2026-01-16,🔥 활성 (Today)
117,아기상어요,0,0,2000,2026-01-16,🔥 활성 (Today)
778877,User#778877,0,0,87000,,💤 휴면
998899,User#998899,0,0,0,,💤 휴면
999998,User#999998,0,0,0,,💤 휴면
